[2026-08-26 17:28:30.392051] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=99.25%
[2026-08-26 17:28:32.459411] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=99.98%
[2026-08-26 17:28:34.583922] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=99.97%
[2026-08-26 17:28:36.610139] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=99.99%
[2026-08-26 17:28:38.685600] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=99.99%
[2026-08-26 17:28:40.704751] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=99.99%
[2026-08-26 17:28:42.794064] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:28:44.868634] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=99.99%
[2026-08-26 17:28:46.937623] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:28:49.056751] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:28:51.118045] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:28:53.140306] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:28:55.210855] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:28:57.329115] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:28:59.401932] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:01.472763] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:03.545075] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:05.581786] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:07.598597] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:09.716578] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:11.734705] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:13.758440] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:15.827800] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:17.897651] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:19.985930] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:22.104964] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:24.124689] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:26.243861] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:28.264524] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:30.388045] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:32.458303] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:34.529376] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:36.598136] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:38.617626] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:40.738152] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:42.811924] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:44.939205] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:47.063736] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:49.139063] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:51.158225] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:53.246588] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:55.316980] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:57.385133] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:29:59.404239] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:30:01.474152] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:30:03.549943] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:30:05.667603] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:30:07.694997] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:30:09.813223] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:30:11.929039] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:30:13.996285] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:30:16.049779] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:30:18.115755] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:30:20.236057] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:30:22.307886] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
